year,GEOID,NAME,race_ethnicity,sex,adult_above_poverty_line_pop,adult_below_poverty_line_pop,child_above_poverty_line_pop,child_below_poverty_line_pop,total_child_pop,total_pop,total_pov,child_pov_pct,pov_pct,adult_above_poverty_line_pop_moe,adult_below_poverty_line_pop_moe,child_above_poverty_line_pop_moe,child_below_poverty_line_pop_moe,total_child_pop_moe,total_pop_moe,total_pov_moe,child_pov_pct_moe,pov_pct_moe,high_child_pov_pct_moe,high_pov_pct_moe,child_poverty_year,total_poverty_year
2023,24001000100,Census Tract 1; Allegany County; Maryland,asianalone,female,0,0,0,0,0,0,0,,,37.0540146272978,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,71.4142842854285,50.4975246918104,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,asianalone,male,0,0,0,0,0,0,0,,,37.0540146272978,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,71.4142842854285,50.4975246918104,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,asianalone,total,0,0,0,0,0,0,0,,,52.4118307255146,52.4118307255146,48.5283422342037,48.5283422342037,68.629439747094,101.014850393395,71.4282857137143,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,blackorafricanamericanalone,female,0,0,0,0,0,0,0,,,37.0540146272978,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,71.4142842854285,50.4975246918104,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,blackorafricanamericanalone,male,13,0,0,0,0,13,0,,,40.7553677446297,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,73.4029972140103,50.4975246918104,,,FALSE,TRUE,2023,2022
2023,24001000100,Census Tract 1; Allegany County; Maryland,blackorafricanamericanalone,total,13,0,0,0,0,13,0,,,55.0908340833573,52.4118307255146,48.5283422342037,48.5283422342037,68.629439747094,102.430464218415,71.4282857137143,,,FALSE,TRUE,2023,2022
2023,24001000100,Census Tract 1; Allegany County; Maryland,combinedother,female,0,0,0,0,0,0,0,,,64.1638527521532,64.1638527521532,59.4053869611166,59.4053869611166,84.0119039184329,123.660826456886,87.4414089547967,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,combinedother,male,0,0,0,0,0,0,0,,,64.1638527521532,64.1638527521532,59.4053869611166,59.4053869611166,84.0119039184329,123.660826456886,87.4414089547967,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,combinedother,total,0,0,0,0,0,0,0,,,90.7469007735251,90.7469007735251,84.0178552451799,84.0178552451799,118.819190369233,174.894253764954,123.66891282776,,,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,hispanicorlatino,female,12,0,0,0,0,12,0,,,39.2173431022552,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,72.5603197346869,50.4975246918104,,,FALSE,TRUE,2023,
2023,24001000100,Census Tract 1; Allegany County; Maryland,hispanicorlatino,male,7,0,0,0,0,7,0,,,37.0540146272978,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,71.4142842854285,50.4975246918104,,,FALSE,TRUE,2023,
2023,24001000100,Census Tract 1; Allegany County; Maryland,hispanicorlatino,total,19,0,0,0,0,19,0,,,53.9629502529282,52.4118307255146,48.5283422342037,48.5283422342037,68.629439747094,101.828286836222,71.4282857137143,,,FALSE,TRUE,2023,
2023,24001000100,Census Tract 1; Allegany County; Maryland,total,female,1076,130,230,29,259,1465,159,0.111969111969112,0.108532423208191,200.034996938036,75.5049667240507,103.662915259026,54.8270006474912,117.268921714152,243.85856556619,93.3113069247238,0.205526934751491,0.061077929004933,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,total,male,1273,138,268,0,268,1679,138,0.204334365325077,0.0821917808219178,237.147633342608,74.2293742395825,101.498768465435,34.3074335968169,107.140095202496,270.606725710948,81.7740790226341,0.153994174173338,0.046867913097334,TRUE,FALSE,2022,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,total,total,2349,268,498,29,527,3144,297,0.176767676767677,0.0944656488549618,310.248287666508,105.886731935592,145.082735016955,64.6838465151849,158.848984888164,364.278739429026,124.080618953969,0.117091305615656,0.0379177366052016,TRUE,FALSE,2022,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,twoormoreraces,female,0,15,5,0,5,20,15,,0.75,37.0540146272978,41.3037528561268,32.5883414736007,34.3074335968169,47.3180726572839,72.9246186140181,53.6935750346352,,0,TRUE,FALSE,2019,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,twoormoreraces,male,14,0,0,0,0,14,0,,,34.8425027803687,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,70.2922470831599,50.4975246918104,,,FALSE,TRUE,2023,
2023,24001000100,Census Tract 1; Allegany County; Maryland,twoormoreraces,total,14,15,5,0,5,34,15,,0.636363636363636,50.8723893679076,55.4977477020464,47.3286382647969,48.5283422342037,67.7864293203293,101.306465736398,73.7224524822662,,0.991245670261113,TRUE,TRUE,2019,2021
2023,24001000100,Census Tract 1; Allegany County; Maryland,whitealone,female,1076,115,225,29,254,1445,144,0.114173228346457,0.0996539792387543,200.034996938036,71.4212853426764,103.213371226794,54.8270006474912,116.871724553033,242.433496035511,90.038880490597,0.209363983966168,0.0600256581904575,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,whitealone,male,1246,138,268,0,268,1652,138,0.204334365325077,0.0835351089588378,236.710794008216,74.2293742395825,101.498768465435,34.3074335968169,107.140095202496,270.223981171176,81.7740790226341,0.153994174173338,0.0475767328668505,TRUE,FALSE,2022,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,whitealone,total,2322,253,493,29,522,3097,282,0.178268251273345,0.0910558605101711,309.914504339503,103.014562077407,144.761873433581,64.6838465151849,158.555983803829,363.041319962343,121.63880959628,0.11796482283656,0.0377981289075616,TRUE,FALSE,2022,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,"whitealone,nothispanicorlatino",female,1064,115,225,29,254,1433,144,0.114173228346457,0.100488485694348,199.012562417552,71.4212853426764,103.213371226794,54.8270006474912,116.871724553033,241.59056272959,90.038880490597,0.209363983966168,0.0605053958138131,FALSE,FALSE,2023,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,"whitealone,nothispanicorlatino",male,1239,138,268,0,268,1645,138,0.204334365325077,0.0838905775075988,236.296424010183,74.2293742395825,101.498768465435,34.3074335968169,107.140095202496,269.861075370273,81.7740790226341,0.153994174173338,0.0477677137891175,TRUE,FALSE,2022,2023
2023,24001000100,Census Tract 1; Allegany County; Maryland,"whitealone,nothispanicorlatino",total,2303,253,493,29,522,3078,282,0.178268251273345,0.0916179337231969,308.938505207752,103.014562077407,144.761873433581,64.6838465151849,158.555983803829,362.208503489358,121.63880959628,0.11796482283656,0.0380197053186416,TRUE,FALSE,2022,2023
2023,24001000200,Census Tract 2; Allegany County; Maryland,asianalone,female,7,0,0,0,0,7,0,,,36.3455636907725,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,71.0492786733265,50.4975246918104,,,FALSE,TRUE,2023,
2023,24001000200,Census Tract 2; Allegany County; Maryland,asianalone,male,0,0,0,0,0,0,0,,,37.0540146272978,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,71.4142842854285,50.4975246918104,,,FALSE,FALSE,2023,2023
2023,24001000200,Census Tract 2; Allegany County; Maryland,asianalone,total,7,0,0,0,0,7,0,,,51.9133894096697,52.4118307255146,48.5283422342037,48.5283422342037,68.629439747094,100.75713374248,71.4282857137143,,,FALSE,TRUE,2023,
