GEOID,NAME,variable,population,moe,edu_less_than_hs_pct,disability_pct,linguistic_isolation_pct,female_headed_family_pct,child_poverty_pct,child_poverty_moe,unemployment_pct,lf_participation_pct,total_population,year,xgb_pred,smoothed_pred
24005490603,Census Tract 4906.03; Baltimore County; Maryland,B01003_001,2449,292,0.028,0.092,0.054,0.295,0.052,6.2,0.038,0.698,2449,2023,0.145877495408058,0.136343021917642
24005450400,Census Tract 4504; Baltimore County; Maryland,B01003_001,2510,300,0.059,0.115,0.022,0.243,0.02,2.2,0.034,0.596,2510,2023,0.134963735938072,0.203471065606116
24005452500,Census Tract 4525; Baltimore County; Maryland,B01003_001,4182,605,0.081,0.219,0.02,0.267,0.274,14.2,0.049,0.607,4182,2023,0.210071489214897,0.168235122205747
24005430104,Census Tract 4301.04; Baltimore County; Maryland,B01003_001,3134,841,0.171,0.14,0.162,0.16,0.018,2.5,0.012,0.569,3134,2023,0.182946637272835,0.224027245233438
24005411307,Census Tract 4113.07; Baltimore County; Maryland,B01003_001,3431,497,0.004,0.064,0.055,0.31,0.334,18.9,0.007,0.697,3431,2023,0.0745965614914894,0.125932297220978
24005491202,Census Tract 4912.02; Baltimore County; Maryland,B01003_001,1805,219,0.015,0.108,0.084,0.37,0.078,17.8,0.025,0.724,1805,2023,0.170708864927292,0.18505210844984
24033801600,Census Tract 8016; Prince George's County; Maryland,B01003_001,2617,555,0.04,0.1,0.14,0.375,0.078,10.9,0.027,0.82,2617,2023,0.143303945660591,0.213940471752126
24033805602,Census Tract 8056.02; Prince George's County; Maryland,B01003_001,6430,1106,0.597,0.014,0.749,0.17,0.485,18.5,0.107,0.747,6430,2023,0.346667259931564,0.20934342498429
24033807304,Census Tract 8073.04; Prince George's County; Maryland,B01003_001,2078,435,0.147,0.11,0.405,0.18,0.188,17.7,0.031,0.593,2078,2023,0.171608537435532,0.216309671478234
24033804101,Census Tract 8041.01; Prince George's County; Maryland,B01003_001,2957,430,0.011,0.065,0.145,0.339,0.049,5.1,0.116,0.696,2957,2023,0.134768456220627,0.194779294791197
24033802002,Census Tract 8020.02; Prince George's County; Maryland,B01003_001,4109,1044,0.007,0.113,0.019,0.35,0.005,1.4,0.117,0.775,4109,2023,0.140662357211113,0.149259670656529
24033800209,Census Tract 8002.09; Prince George's County; Maryland,B01003_001,4005,588,0.109,0.096,0.214,0.421,0.231,18.7,0.063,0.774,4005,2023,0.164106816053391,0.152212486775383
24033803527,Census Tract 8035.27; Prince George's County; Maryland,B01003_001,3502,658,0.015,0.113,0.027,0.492,0.198,19.5,0.086,0.647,3502,2023,0.165230393409729,0.149792407727835
24033806000,Census Tract 8060; Prince George's County; Maryland,B01003_001,6432,823,0.266,0.061,0.422,0.262,0.152,12.4,0.027,0.842,6432,2023,0.234592869877815,0.152506430208876
24033802600,Census Tract 8026; Prince George's County; Maryland,B01003_001,3203,521,0.022,0.123,0.049,0.479,0.225,29.9,0.088,0.723,3203,2023,0.165230393409729,0.179256725371596
24033801216,Census Tract 8012.16; Prince George's County; Maryland,B01003_001,3916,724,0.105,0.125,0.109,0.284,0.243,22.7,0.076,0.568,3916,2023,0.208951994776726,0.162811672894902
24031701221,Census Tract 7012.21; Montgomery County; Maryland,B01003_001,4365,498,0.017,0.084,0.18,0.324,0.189,11.8,0.046,0.68,4365,2023,0.095630407333374,0.0913523369645691
24031700822,Census Tract 7008.22; Montgomery County; Maryland,B01003_001,1514,204,0.052,0.098,0.194,0.335,0.398,23.7,0,0.705,1514,2023,0.18939982354641,0.180660578629584
24031701601,Census Tract 7016.01; Montgomery County; Maryland,B01003_001,2110,406,0.107,0.053,0.23,0.382,0.278,19.9,0.072,0.838,2110,2023,0.21402470767498,0.227307676871718
24510100100,Census Tract 1001; Baltimore city; Maryland,B01003_001,1428,447,0.15,0.285,0.017,0.591,0.139,17.7,0.171,0.489,1428,2023,0.46173682808876,0.382831859630165
24025306500,Census Tract 3065; Harford County; Maryland,B01003_001,2570,517,0.007,0.105,0.036,0.229,0,5.3,0.04,0.793,2570,2023,0.0686329305171967,0.128651077165879
24019970900,Census Tract 9709; Dorchester County; Maryland,B01003_001,1223,190,0.155,0.201,0.059,0.208,0.055,9.3,0.049,0.574,1223,2023,0.16825670003891,0.213579664619729
24005440300,Census Tract 4403; Baltimore County; Maryland,B01003_001,2009,243,0.026,0.094,0.164,0.338,0.02,3.8,0.022,0.763,2009,2023,0.17187537252903,0.239151259658335
24027602201,Census Tract 6022.01; Howard County; Maryland,B01003_001,3810,410,0.002,0.079,0.065,0.092,0.035,6.1,0.051,0.711,3810,2023,0.0522280670702457,0.0861304783371045
24027606607,Census Tract 6066.07; Howard County; Maryland,B01003_001,4420,441,0.015,0.084,0.073,0.232,0,4.7,0.027,0.718,4420,2023,0.0676326677203178,0.133094536868185
24021750505,Census Tract 7505.05; Frederick County; Maryland,B01003_001,7628,1028,0.143,0.074,0.192,0.322,0.088,12.7,0.049,0.793,7628,2023,0.122549034655094,0.0947011999082177
